category	literature	ignore	Species Name	Clade	Current name (Kidd et al. 2023)	Strain name	Datasource	Reference accession	cladegroup	is_primary	ploidy	Mitochondrion accession
Top 6 EU	Arendrup et al. 2023		Candida albicans			SC5314	NCBI	GCA_000182965.3		NA	diploid	
Top 6 EU	Arendrup et al. 2023		Candida glabrata 		nakaseomyces glabrata	ATCC2001	NCBI	GCA_010111755.1		NA	haploid	
Top 6 EU	Arendrup et al. 2023		Candida parapsilosis			CDC317	NCBI	GCA_000182765.2		NA	diploid	
Top 6 EU	Arendrup et al. 2023		Candida tropicalis			MYA-3404	NCBI	GCA_000006335.3		NA	diploid	
Top 6 EU	Arendrup et al. 2023		Candida dubliniensis			CD36	NCBI	GCA_000026945.1		NA	diploid	
Top 6 EU	Arendrup et al. 2023		Candida krusei 		Pichia kudriavzevii	CBS573	NCBI	GCA_003054445.1		NA	diploid	
other EU			Candida lusitaniae 		clavispora lusitaniae	FDAARGOS_655	NCBI	GCA_014636115.1		NA		
other EU			Candida haemulonii			B11899 	NCBI	GCA_002926055.1		NA		
other EU			Candida rugosa		diutina rugosa	CBS613	NCBI	GCF_008704595.1		NA		
other EU			Candida kefyr 		kluyveromyces marxianus	DMKU3-1042	NCBI	GCA_001417885.1		NA		
other EU			Candida digboiensis 			CBS9800	NCBI	GCA_030570855.1		NA		
other EU			Candida inconspicua			CBS180	NCBI	GCA_004931855.1		NA		
other EU			Candida pelliculosa		Wickerhamomyces anomalus	NRRL Y-366-8	NCBI	GCA_001661255.1		NA		
other EU			Candida guillermondii 		Meyerozyma guilliermondii	ATCC6260	NCBI	GCA_000149425.1		NA		
other EU			Candida auris	Clade I		B8441	NCBI	GCA_002759435.3	cauris	1	haploid	
other EU		1	Candida auris		Clade I alternative ref	B11205	NCBI	GCA_016772135.1	cauris	0	haploid	
other EU			Candida auris	Clade II		B11220 	NCBI	GCA_003013715.2	cauris	0	haploid	
other EU			Candida auris	Clade III		B11221	NCBI	GCA_031357565.2	cauris	0	haploid	
other EU			Candida auris	Clade IV		B11243	NCBI	GCA_003014415.1	cauris	0	haploid	
other EU			Candida auris	Clade V		IFRC2087	NCBI	GCA_016809505.1	cauris	0	haploid	
other EU			Candida orthopsilosis			Co 90-125	NCBI	GCA_000315875.1			diploid	
other EU			Candida bracarensis 		nakaseomyces bracarensis	NRRL Y-48270	NCBI	GCA_030569875.1				
		1	Candida sofiia				NCBI	GCA_5645645765				
clinical species	Stavrou et al. 2019		Candida famata 		Debaryomyces hansenii	CBS767	NCBI	GCA_000006445.2				
clinical species	Stavrou et al. 2019	1	meyerozyma caribbica			MG20W	NCBI	GCA_000755205.1				
clinical species	Stavrou et al. 2019	1	cyberlindnera jadinii			NRRL Y-1542	NCBI	GCA_001661405.1				
clinical species	Stavrou et al. 2019		Candida nivariensis 		Nakaseomyces nivariensis 	CBS 9983	NCBI	GCA_017309295.1	customgroup	1		
clinical species	Stavrou et al. 2019		Candida norvegensis		pichia norvegensis 	NRRL Y-7687	NCBI	GCA_030570285.1	customgroup	0		
clinical species	Stavrou et al. 2019	1	candida intermedia			CBS 141442	NCBI	GCA_900106115.1				
clinical species	Stavrou et al. 2019		Wickerhamiella pararugosa			PX1910	NCBI	GCA_023628975.1	customgroup	0		
clinical species	Stavrou et al. 2019		Candida lipolytica		Yarrowia lipolytica 	DSM 3286	NCBI	GCA_014490615.1				
clinical species	Stavrou et al. 2019	1	Candida duobushaemulonii 			B09383					haploid	
clinical species	Stavrou et al. 2019	1	Candida pseudohaemulonii			B12108 					haploid	
clinical species	Kidd et al. 2023		Candida catenulata		Diutina catenulata	NRRL Y-1508	NCBI	GCA_030560525.1				
clinical species	Kidd et al. 2023		Candida colliculosa		Torulaspora delbrueckii	CBS 1146	NCBI	GCA_000243375.1				
clinical species	Kidd et al. 2023		Candida pseudorugosa		Diutina pseudorugosa	CBS 10433	NCBI	GCA_030580175.1				
clinical species	Kidd et al. 2023		Candida neorugosa 		Diutina neorugosa	CBS 1262	NCBI	GCA_030578555.1				
clinical species	Kidd et al. 2023		Candida fabianii		Cyberlindnera fabianii	Missouri 	NCBI	GCA_022641835.1				
clinical species	Kidd et al. 2023	1	Candida pararugosa		diutina pararugosa	n/a	NCBI	n/a				
haemulonii complex	De Jong et al. 2024		Candida auris	Clade I		AR0387	RIVM	eigen data 			haploid	
haemulonii complex	De Jong et al. 2024		Candida auris	Clade II		CBS10913	RIVM	eigen data 			haploid	
haemulonii complex	De Jong et al. 2024		Candida auris	Clade III		AR0383	RIVM	eigen data 			haploid	
haemulonii complex	De Jong et al. 2024		Candida auris	Clade IV		AR0385	RIVM	eigen data 			haploid	
haemulonii complex	De Jong et al. 2024		Candida auris	Clade V		AR1097	RIVM	eigen data 			haploid	
haemulonii complex	De Jong et al. 2024	1	Candida auris	Clade VI		?	RIVM				haploid	
haemulonii complex	De Jong et al. 2024		Candida haemulonii			CBS5149	RIVM	eigen data 			haploid	
haemulonii complex	De Jong et al. 2024		Candida pseudohaemulonii			CBS10004	RIVM	eigen data 			haploid	
haemulonii complex	De Jong et al. 2024		Candida duobushaemulonii			AR0391	RIVM	eigen data 			haploid	
haemulonii complex	De Jong et al. 2024		Candida khanbhai			CBS 16213	RIVM	eigen data 			haploid	
haemulonii complex	De Jong et al. 2024		Candida ruelliae			CBS 10815	RIVM	eigen data 			haploid	
haemulonii complex	De Jong et al. 2024		Candida metrosideri			CBS 16091	RIVM	eigen data 			haploid	
haemulonii complex	De Jong et al. 2024		Candida ohialehuae			CBS 16092	RIVM	eigen data 			haploid	
haemulonii complex	De Jong et al. 2024		Candida heveicola			CBS 10701	RIVM	eigen data 			haploid	
haemulonii complex	De Jong et al. 2024		Candida konsanensis			CBS12666	RIVM	eigen data 			haploid	
haemulonii complex	De Jong et al. 2024		Candida chanthaburiensis 			CBS10926	RIVM	eigen data 			haploid	
Other relevant pathogens			Trichophyton indotinea				NCBI	GCA_023065905.1			haploid	
Other relevant pathogens		1	Aspergillus fumigatus				RIVM	Check Wageningen - eerder besproken 			haploid	
Other relevant pathogens		1	Aspergillus tubingensis 				RIVM	check met Maarten Punt 			haploid	
Other relevant pathogens			Aspergillus flavus 				NCBI	GCF_009017415.1			haploid	
vraag CWZ om lastige soorten 		1										

