reference	taxid	MT_num	MT_assembly	MT_accession	MT_length	MT_source	fasta
GCA_003054445.1	4909	1	GCA_003054445.1_ASM305444v1_genomic.fna	CP028778.1	51340	included	GCA_003054445.1__included__CP028778.1.fa
GCA_030570285.1	4921	2	GCA_030570285.1.mito.3111511666.fa	BK073867.1	33423	external	GCA_030570285.1__external__BK073867.1.fa
GCA_000243375.1	4950	9	GCA_000243375.1.mito.1368095995.fa	CP027655.1	47174	external	GCA_000243375.1__external__CP027655.1.fa
GCA_014490615.1	4952	1	GCA_014490615.1_ASM1449061v1_genomic.fna	CP061018.1	47895	included	GCA_014490615.1__included__CP061018.1.fa
GCA_009017415.1	5059	1	GCA_009017415.1.mito.NC_026920.1.fa	NC_026920.1	31602	provided	GCA_009017415.1__provided__NC_026920.1.fa
GCF_009017415.1	5059	20	GCF_009017415.1.mito.2098053930.fa	MZ714577.1	29208	external	GCF_009017415.1__external__MZ714577.1.fa
GCA_000002855.2	5061	1	GCA_000002855.2.mito.NC_007445.1.fa	NC_007445.1	31103	provided	GCA_000002855.2__provided__NC_007445.1.fa
GCA_013340325.1	5068	1	GCA_013340325.1.mito.NC_007597.1.fa	NC_007597.1	33656	provided	GCA_013340325.1__provided__NC_007597.1.fa
GCA_010111755.1	5478	1	GCA_010111755.1.mito.CP130941.1.fa	CP130941.1	20062	provided	GCA_010111755.1__provided__CP130941.1.fa
GCA_000182765.2	5480	1	GCA_000182765.2_ASM18276v2_genomic.fna	HE605210.1	31781	included	GCA_000182765.2__included__HE605210.1.fa
GCF_008704595.1	5481	3	GCF_008704595.1.mito.2991082959.fa	OZ262468.1	41838	external	GCF_008704595.1__external__OZ262468.1.fa
GCA_030566835.1	5486	2	GCA_030566835.1.mito.288900902.fa	NC_013809.1	39242	external	GCA_030566835.1__external__NC_013809.1.fa
GCA_034406715.1	5537	1	GCA_034406715.1_ASM3440671v1_genomic.fna	CP137882.1	40152	included	GCA_034406715.1__included__CP137882.1.fa
GCA_022641835.1	36022	1	GCA_022641835.1_ASM2264183v1_genomic.fna	CP048728.1	51647	included	GCA_022641835.1__included__CP048728.1.fa
GCA_014636115.1	36911	1	GCA_014636115.1_ASM1463611v1_genomic.fna	CM025806.1	24186	included	GCA_014636115.1__included__CM025806.1.fa
GCA_900106115.1	45354	1	GCA_900106115.1_CBS_141442_assembly_genomic.fna	LT635763.1	21871	included	GCA_900106115.1__included__LT635763.1.fa
GCA_002926055.1	45357	1	GCA_002926055.1_CanHae_1.0_genomic.fna	PKFO01000012.1	39519	included	GCA_002926055.1__included__PKFO01000012.1.fa
GCA_030560525.1	45537	4	GCA_030560525.1.mito.3077261970.fa	OZ261072.1	20934	external	GCA_030560525.1__external__OZ261072.1.fa
