reference	taxid	MT_num	MT_assembly	MT_accession	MT_length	MT_source	fasta
GCA_003054445.1	4909	1	GCA_003054445.1_ASM305444v1_genomic.fna	CP028778.1	51340	included	GCA_003054445.1__included__CP028778.1.fa
GCA_030570285.1	4921	2	GCA_030570285.1.mito.3111511666.fa	BK073867.1	33423	external	GCA_030570285.1__external__BK073867.1.fa
GCA_000243375.1	4950	9	GCA_000243375.1.mito.1368095995.fa	CP027655.1	47174	external	GCA_000243375.1__external__CP027655.1.fa
GCA_014490615.1	4952	1	GCA_014490615.1_ASM1449061v1_genomic.fna	CP061018.1	47895	included	GCA_014490615.1__included__CP061018.1.fa
GCA_010111755.1	5478	15	GCA_010111755.1.mito.3062092141.fa	CP130941.1	20062	external	GCA_010111755.1__external__CP130941.1.fa
GCA_000182765.2	5480	1	GCA_000182765.2_ASM18276v2_genomic.fna	HE605210.1	31781	included	GCA_000182765.2__included__HE605210.1.fa
GCF_008704595.1	5481	3	GCF_008704595.1.mito.2991082959.fa	OZ262468.1	41838	external	GCF_008704595.1__external__OZ262468.1.fa
GCA_022641835.1	36022	1	GCA_022641835.1_ASM2264183v1_genomic.fna	CP048728.1	51647	included	GCA_022641835.1__included__CP048728.1.fa
GCA_014636115.1	36911	1	GCA_014636115.1_ASM1463611v1_genomic.fna	CM025806.1	24186	included	GCA_014636115.1__included__CM025806.1.fa
GCA_900106115.1	45354	1	GCA_900106115.1_CBS_141442_assembly_genomic.fna	LT635763.1	21871	included	GCA_900106115.1__included__LT635763.1.fa
GCA_002926055.1	45357	1	GCA_002926055.1_CanHae_1.0_genomic.fna	PKFO01000012.1	39519	included	GCA_002926055.1__included__PKFO01000012.1.fa
GCA_030560525.1	45537	4	GCA_030560525.1.mito.3077261970.fa	OZ261072.1	20934	external	GCA_030560525.1__external__OZ261072.1.fa
GCA_023628975.1	49331	1	GCA_023628975.1.mito.3111512754.fa	BK074535.1	51668	external	GCA_023628975.1__external__BK074535.1.fa
GCA_004931855.1	52247	1	GCA_004931855.1.mito.3111511661.fa	BK073862.1	40077	external	GCA_004931855.1__external__BK073862.1.fa
GCA_030570855.1	223819						GCA_030570855.1__nd__nd.fa
GCA_000182965.3	237561	2	GCA_000182965.3.mito.266630551.fa	NC_002653.1	40420	external	GCA_000182965.3__external__NC_002653.1.fa
GCA_030569875.1	273131	3	GCA_030569875.1.mito.1314948788.fa	NC_036380.1	46138	external	GCA_030569875.1__external__NC_036380.1.fa
GCA_000006445.2	284592						GCA_000006445.2__nd__nd.fa
GCA_000149425.1	294746						GCA_000149425.1__nd__nd.fa
GCA_000006335.3	294747	1	GCA_000006335.3_ASM633v3_genomic.fna	GG692418.1	50304	included	GCA_000006335.3__included__GG692418.1.fa
GCA_017309295.1	418086	1	GCA_017309295.1_JHU_Cniv_v1_genomic.fna	CM029591.1	28512	included	GCA_017309295.1__included__CM029591.1.fa
GCA_002759435.3	498019	20	GCA_002759435.3.mito.2906680354.fa	CM105539.1	28239	external	GCA_002759435.3__external__CM105539.1.fa
GCA_003013715.2	498019	20	GCA_003013715.2.mito.2906680354.fa	CM105539.1	28239	external	GCA_003013715.2__external__CM105539.1.fa
GCA_003014415.1	498019	20	GCA_003014415.1.mito.2906680354.fa	CM105539.1	28239	external	GCA_003014415.1__external__CM105539.1.fa
GCA_016772135.1	498019	20	GCA_016772135.1.mito.2906680354.fa	CM105539.1	28239	external	GCA_016772135.1__external__CM105539.1.fa
GCA_016809505.1	498019	20	GCA_016809505.1.mito.2906680354.fa	CM105539.1	28239	external	GCA_016809505.1__external__CM105539.1.fa
GCA_031357565.2	498019	1	GCA_031357565.2_ASM3135756v2_genomic.fna	CP126634.1	28214	included	GCA_031357565.2__included__CP126634.1.fa
GCA_000026945.1	573826						GCA_000026945.1__nd__nd.fa
GCA_001661255.1	683960						GCA_001661255.1__nd__nd.fa
GCA_001661405.1	983966						GCA_001661405.1__nd__nd.fa
GCA_001417885.1	1003335	1	GCA_001417885.1_Kmar_1.0_genomic.fna	AP012221.1	46308	included	GCA_001417885.1__included__AP012221.1.fa
GCA_030580175.1	1035112	1	GCA_030580175.1.mito.3111510432.fa	BK072917.1	61472	external	GCA_030580175.1__external__BK072917.1.fa
GCA_000755205.1	1091232						GCA_000755205.1__nd__nd.fa
GCA_000315875.1	1136231						GCA_000315875.1__nd__nd.fa
GCA_030578555.1	1714406	1	GCA_030578555.1.mito.3111510431.fa	BK072916.1	58234	external	GCA_030578555.1__external__BK072916.1.fa
